iter	Passed	Remaining
284	9206	3715
285	9249	3687
286	9282	3654
287	9315	3622
288	9347	3590
289	9380	3557
290	9414	3526
291	9446	3494
292	9481	3462
293	9515	3430
294	9548	3398
295	9583	3367
296	9616	3335
297	9649	3302
298	9682	3270
299	9715	3238
300	9749	3206
301	9780	3173
302	9812	3141
303	9845	3108
304	9879	3077
305	9915	3045
306	9949	3014
307	9982	2981
308	10015	2949
309	10049	2917
310	10082	2885
311	10117	2853
312	10152	2821
313	10183	2789
314	10233	2761
315	10285	2734
316	10341	2707
317	10401	2682
318	10444	2652
319	10489	2622
320	10541	2594
321	10595	2566
322	10652	2539
323	10696	2509
324	10756	2482
325	10789	2449
326	10832	2418
327	10874	2387
328	10913	2355
329	10948	2322
330	10984	2289
331	11020	2257
332	11057	2224
333	11095	2192
334	11130	2159
335	11166	2127
336	11203	2094
337	11240	2061
338	11282	2030
339	11320	1997
340	11358	1965
341	11395	1932
342	11433	1900
343	11473	1867
344	11512	1835
345	11550	1802
346	11590	1770
347	11629	1737
348	11665	1704
349	11706	1672
350	11747	1639
351	11788	1607
352	11837	1576
353	11879	1543
354	11926	1511
355	11973	1479
356	12023	1448
357	12069	1415
358	12113	1383
359	12169	1352
360	12220	1320
361	12270	1288
362	12319	1255
363	12365	1222
364	12413	1190
365	12458	1157
366	12500	1124
367	12543	1090
368	12583	1057
369	12623	1023
370	12662	989
371	12701	956
372	12740	922
373	12781	888
374	12818	854
375	12854	820
376	12890	786
377	12925	752
378	12960	718
379	12996	684
380	13029	649
381	13064	615
382	13098	581
383	13134	547
384	13181	513
385	13221	479
386	13254	445
387	13287	410
388	13320	376
389	13353	342
390	13386	308
391	13418	273
392	13450	239
393	13483	205
394	13517	171
395	13551	136
396	13585	102
397	13619	68
398	13651	34
399	13683	0
